id,latitude,longitude,neighbourhood,price,reviews_per_month,number_of_reviews,availability_ratio,avg_calendar_price,best_maintenance_month,total_reviews,complaint_count,complaint_ratio,urgency_score,neighbourhood_weight,aco_priority
15209963,40.11456,116.18396,Haidian,1899,1.1,33,0.9945205479452055,2014.6054794520549,4.0,33.0,0.0,0.0,0.0,1.0,0.03380301021814983
32035665,39.852920000000005,116.50661,,134,2.25,3,0.0,123.30958904109589,6.0,3.0,0.0,0.0,0.0,1.0,0.03380237035210859
30807507,39.89842,116.27309,Haidian,530,1.12,4,0.9972602739726028,594.5205479452055,4.0,4.0,0.0,0.0,0.0,1.0,0.0337987322787531
27300266,39.97341,116.30759,Haidian,101,1.13,9,0.9917808219178083,99.26027397260275,4.0,9.0,0.0,0.0,0.0,1.0,0.03379691514620798
30331781,39.864740000000005,116.38537,Dongcheng,456,1.51,7,0.4821917808219178,456.5342465753425,4.0,7.0,0.0,0.0,0.0,1.0,0.033780505068946094
20443449,39.89497,116.41241,Dongcheng,208,2.18,44,0.030136986301369864,210.4794520547945,4.0,44.0,0.0,0.0,0.0,1.0,0.03377389919480121
17709702,39.91258,116.45536,,309,1.55,35,0.4465753424657534,319.2520547945206,4.0,35.0,0.0,0.0,0.0,1.0,0.03377042052625181
28909045,39.94164,116.31018,Haidian,329,1.99,13,0.12602739726027398,285.28767123287673,6.0,13.0,0.0,0.0,0.0,1.0,0.03375912471085393
29616195,39.88815,116.32034,Xicheng,127,2.0,2,0.1232876712328767,172.3095890410959,4.0,2.0,0.0,0.0,0.0,1.0,0.0337474998947115
28929681,39.97317,116.35138,Haidian,289,1.29,7,0.736986301369863,291.62191780821917,4.0,7.0,0.0,0.0,0.0,1.0,0.033738389546798545
30158572,40.64992,117.27054,,691,1.12,4,0.989041095890411,787.917808219178,4.0,4.0,0.0,0.0,0.0,1.0,0.03373766300845408
8655881,39.925990000000006,116.42153,Dongcheng,382,1.28,51,0.7479452054794521,444.5753424657534,4.0,51.0,0.0,0.0,0.0,1.0,0.03373332470894682
31886673,39.90064,116.44446,,382,1.14,3,0.9616438356164384,380.0,4.0,3.0,0.0,0.0,0.0,1.0,0.033716801724665395
21745827,40.00196,116.48009,,470,1.14,18,0.958904109589041,470.43013698630136,4.0,18.0,0.0,0.0,0.0,1.0,0.0337124596228526
26443634,39.88901,116.46486000000002,,188,1.81,17,0.23835616438356164,189.43835616438355,4.0,17.0,0.0,0.0,0.0,1.0,0.033699869783948004
24784404,39.87,116.4578,,570,1.13,13,0.9726027397260274,618.0794520547945,4.0,13.0,0.0,0.0,0.0,1.0,0.03369890809863268
26138977,40.00591,116.28805,Haidian,550,1.13,11,0.9726027397260274,547.1945205479452,4.0,11.0,0.0,0.0,0.0,1.0,0.03368921043158749
21758869,39.88148,116.46916,,396,1.51,26,0.4794520547945205,517.2438356164383,4.0,26.0,0.0,0.0,0.0,1.0,0.033688906843116956
19584186,40.00307,116.46097,,248,1.84,40,0.21643835616438356,242.23561643835617,4.0,40.0,0.0,0.0,0.0,1.0,0.03368130039644101
20974824,39.99909,116.46968,,436,1.13,21,0.9753424657534246,606.0520547945206,4.0,21.0,0.0,0.0,0.0,1.0,0.03368064752627643
30541401,40.05238,116.30157,Haidian,691,1.62,7,0.3726027397260274,720.1506849315068,4.0,7.0,0.0,0.0,0.0,1.0,0.033675425584073077
31156470,39.90119,116.32865,Haidian,557,1.12,4,0.989041095890411,579.0410958904109,4.0,4.0,0.0,0.0,0.0,1.0,0.03367272697221258
26968852,39.94337,116.46741000000002,,483,1.26,10,0.7698630136986301,582.8219178082192,4.0,10.0,0.0,0.0,0.0,1.0,0.03367161560240518
20679036,39.93037,116.29054,Haidian,396,1.13,22,0.9753424657534246,398.8082191780822,4.0,22.0,0.0,0.0,0.0,1.0,0.03366122525422206
26481049,40.22416,116.21873,Changping,295,1.13,2,0.9780821917808219,304.2191780821918,4.0,2.0,0.0,0.0,0.0,1.0,0.03365880285780807
26875842,39.91131,116.45334,,389,2.19,20,0.019178082191780823,408.13698630136986,4.0,20.0,0.0,0.0,0.0,1.0,0.03365576077498694
28431922,39.88927,116.40185,Dongcheng,1080,1.26,9,0.7534246575342466,1177.8082191780823,4.0,9.0,0.0,0.0,0.0,1.0,0.0336457897710432
22401270,39.912290000000006,116.34022,Xicheng,262,1.23,19,0.8164383561643835,242.48767123287672,4.0,19.0,0.0,0.0,0.0,1.0,0.03362749996026849
13393438,39.92843,116.42764,Dongcheng,87,1.13,33,0.9808219178082191,90.0,4.0,33.0,0.0,0.0,0.0,1.0,0.0336041457288229
18465707,39.91623,116.41638,Dongcheng,517,1.99,47,0.1178082191780822,520.0,9.0,47.0,0.0,0.0,0.0,1.0,0.03360367758038281
24255506,39.99852,116.46428,,221,1.14,14,0.958904109589041,218.9150684931507,4.0,14.0,0.0,0.0,0.0,1.0,0.03359150107235346
31210707,39.72117,116.18101,Fangshan,242,1.13,4,0.9753424657534246,246.27123287671233,4.0,4.0,0.0,0.0,0.0,1.0,0.033586449506812756
29584798,39.92985,116.27654,Haidian,248,1.81,7,0.2328767123287671,261.63287671232877,4.0,7.0,0.0,0.0,0.0,1.0,0.033579880499536335
28359742,40.00164,116.48902,,980,1.11,8,0.989041095890411,980.0,4.0,8.0,0.0,0.0,0.0,1.0,0.03357523205585933
17972747,39.89444,116.41403,Dongcheng,698,1.55,38,0.4301369863013699,838.0,4.0,38.0,0.0,0.0,0.0,1.0,0.03357424212144016
30371537,39.9555,116.44286,,188,1.13,5,0.9753424657534246,188.43835616438355,4.0,5.0,0.0,0.0,0.0,1.0,0.03356022943953937
24794002,39.92402,116.37398,Xicheng,1161,1.61,18,0.36712328767123287,1100.3013698630136,4.0,18.0,0.0,0.0,0.0,1.0,0.033558984863883826
28510008,39.9679,116.35139,Haidian,591,1.12,4,0.9808219178082191,744.8356164383562,4.0,4.0,0.0,0.0,0.0,1.0,0.033549991696114334
30901178,39.83846,116.38475,,396,1.12,4,0.9863013698630136,401.15342465753423,4.0,4.0,0.0,0.0,0.0,1.0,0.0335484331084265
25413389,39.89725,116.42005,Dongcheng,691,1.16,10,0.9095890410958904,700.4383561643835,4.0,10.0,0.0,0.0,0.0,1.0,0.03354680157368566
31677793,39.97973,116.30704,Haidian,201,1.85,5,0.2054794520547945,280.11506849315066,4.0,5.0,0.0,0.0,0.0,1.0,0.03353646597751037
27742331,39.984,116.3175,Haidian,476,1.15,8,0.9315068493150684,617.4958904109589,5.0,8.0,0.0,0.0,0.0,1.0,0.03353544313944091
22948118,39.88876,116.48021,,597,1.59,23,0.39452054794520547,685.9397260273972,4.0,23.0,0.0,0.0,0.0,1.0,0.033534241247346934
33090086,39.89185,116.44655,,497,2.0,2,0.1095890410958904,503.50958904109586,4.0,2.0,0.0,0.0,0.0,1.0,0.03351455802270576
21641681,39.8945,116.42316,Dongcheng,282,1.13,6,0.9698630136986301,326.4767123287671,4.0,6.0,0.0,0.0,0.0,1.0,0.03351265160749717
31325077,39.95041,116.4562,,148,2.23,7,0.0,157.7972602739726,6.0,7.0,0.0,0.0,0.0,1.0,0.03350869612506526
18705857,39.94247,116.37063,Xicheng,268,1.83,42,0.21643835616438356,281.62191780821917,4.0,42.0,0.0,0.0,0.0,1.0,0.033507934644844
29296781,39.7407,116.33398,,456,1.13,6,0.9643835616438357,461.06849315068496,4.0,6.0,0.0,0.0,0.0,1.0,0.03350344959898986
27064280,39.94189,116.4446,,201,1.12,10,0.989041095890411,216.35890410958905,4.0,10.0,0.0,0.0,0.0,1.0,0.03350021033861577
31005427,39.714940000000006,116.31335,,289,1.49,5,0.4931506849315068,304.03287671232874,4.0,5.0,0.0,0.0,0.0,1.0,0.033498715222015696
26473156,39.67757,116.32403,,101,2.0,18,0.11506849315068493,198.186301369863,4.0,18.0,0.0,0.0,0.0,1.0,0.03348795380337829
12285928,40.00092,116.31683999999998,Haidian,101,0.61,22,0.6931506849315069,100.0,4.0,22.0,1.0,0.045454545454545456,0.015151515151515152,1.0,0.03348588433709455
31002110,39.98874,116.33391,Haidian,456,1.24,4,0.7890410958904109,459.2246575342466,4.0,4.0,0.0,0.0,0.0,1.0,0.03348318733327664
27734643,39.95371,116.31937,Haidian,490,1.11,6,0.9972602739726028,599.0383561643836,4.0,6.0,0.0,0.0,0.0,1.0,0.03347766767889311
22618005,39.9197,116.40403,Dongcheng,356,1.13,14,0.9643835616438357,625.7890410958904,4.0,14.0,0.0,0.0,0.0,1.0,0.033455163298494094
23999083,39.93417,116.33499,Xicheng,456,1.83,23,0.21095890410958903,459.627397260274,4.0,23.0,0.0,0.0,0.0,1.0,0.03344762498937182
18368748,39.94429,116.41672,Dongcheng,329,2.22,48,0.0,380.06301369863013,6.0,48.0,0.0,0.0,0.0,1.0,0.033445840826033996
22412955,39.93475,116.41774,Dongcheng,268,1.53,24,0.4520547945205479,280.82191780821915,4.0,24.0,0.0,0.0,0.0,1.0,0.03344112662273421
31180753,39.83731,116.28377,,315,1.11,2,1.0,318.7671232876712,4.0,2.0,0.0,0.0,0.0,1.0,0.03343907999303904
21659353,39.95391,116.45297,,168,2.0,2,0.11232876712328767,182.2082191780822,4.0,2.0,0.0,0.0,0.0,1.0,0.03343809711493611
19775609,39.72658,116.17141,Fangshan,235,1.51,32,0.4712328767123288,238.65753424657535,4.0,32.0,0.0,0.0,0.0,1.0,0.03342394197769156
18814218,39.92,116.3725,Xicheng,369,1.11,23,0.9972602739726028,398.4876712328767,4.0,23.0,0.0,0.0,0.0,1.0,0.03341931481023833
28040505,39.80302,116.42413,,127,1.12,8,0.9863013698630136,128.0,4.0,8.0,0.0,0.0,0.0,1.0,0.03341825599329968
21845984,39.92856,116.27814,Haidian,221,1.12,19,0.9835616438356164,221.5917808219178,4.0,19.0,0.0,0.0,0.0,1.0,0.03341758850392588
29482233,39.98245,116.46775,,497,1.12,4,0.9753424657534246,422.1917808219178,4.0,4.0,0.0,0.0,0.0,1.0,0.0334119455487597
30579257,39.90135,116.50231,,356,1.55,6,0.4301369863013699,391.3095890410959,5.0,6.0,0.0,0.0,0.0,1.0,0.03340932921688399
